Date,Total Individuals in Shelter,Easter,Thanksgiving,Christmas,Temperature
1/1/2014,50689,0,0,0,2.17
1/2/2014,50797,0,0,0,2.51
1/3/2014,50954,0,0,0,-6.35
1/4/2014,50957,0,0,0,-1.27
1/5/2014,50957,0,0,0,7.18
1/6/2014,50910,0,0,0,9.89
1/7/2014,51082,0,0,0,-6.95
1/8/2014,51319,0,0,0,-4.06
1/9/2014,51352,0,0,0,-0.77
1/10/2014,51125,0,0,0,4.83
1/11/2014,51054,0,0,0,11.14
1/12/2014,51261,0,0,0,8.72
1/13/2014,51345,0,0,0,7.94
1/14/2014,51227,0,0,0,7.21
1/15/2014,51344,0,0,0,5.08
1/16/2014,51413,0,0,0,4.62
1/17/2014,51371,0,0,0,5.87
1/18/2014,51319,0,0,0,5.24
1/19/2014,51472,0,0,0,3.47
1/20/2014,51585,0,0,0,6.37
1/21/2014,51649,0,0,0,-1.25
1/22/2014,51809,0,0,0,-6.63
1/23/2014,51882,0,0,0,-5.62
1/24/2014,51907,0,0,0,-5.32
1/25/2014,51927,0,0,0,-0.89
1/26/2014,52121,0,0,0,0.39
1/27/2014,52168,0,0,0,4.82
1/28/2014,52178,0,0,0,-5.28
1/29/2014,52247,0,0,0,-3.99
1/30/2014,52231,0,0,0,-2.2
1/31/2014,51909,0,0,0,3.32
2/1/2014,51668,0,0,0,4.73
2/2/2014,51724,0,0,0,6.84
2/3/2014,51943,0,0,0,2.93
2/4/2014,52077,0,0,0,0.82
2/5/2014,52137,0,0,0,1.82
2/6/2014,52199,0,0,0,-0.95
2/7/2014,52162,0,0,0,-1.11
2/8/2014,51992,0,0,0,-2.83
2/9/2014,52084,0,0,0,-2.13
2/10/2014,52164,0,0,0,-2.7
2/11/2014,52166,0,0,0,-4.44
2/12/2014,52137,0,0,0,-1.13
2/13/2014,52319,0,0,0,1.54
2/14/2014,52153,0,0,0,2.26
2/15/2014,52069,0,0,0,1.79
2/16/2014,52165,0,0,0,-2.49
2/17/2014,52270,0,0,0,-2.17
2/18/2014,52325,0,0,0,2.58
2/19/2014,52261,0,0,0,3.9
2/20/2014,52171,0,0,0,4.53
2/21/2014,52093,0,0,0,6.76
2/22/2014,52074,0,0,0,7.64
2/23/2014,52249,0,0,0,8.79
2/24/2014,52301,0,0,0,3.24
2/25/2014,52261,0,0,0,-0.08
2/26/2014,52338,0,0,0,0.12
2/27/2014,52354,0,0,0,0.58
2/28/2014,52184,0,0,0,-4.9
3/1/2014,52167,0,0,0,1.61
3/2/2014,52295,0,0,0,2.5
3/3/2014,52271,0,0,0,-1.17
3/4/2014,52118,0,0,0,-2.67
3/5/2014,52128,0,0,0,2.32
3/6/2014,52128,0,0,0,-1.86
3/7/2014,52070,0,0,0,2.36
3/8/2014,52031,0,0,0,9.01
3/9/2014,52211,0,0,0,4.93
3/10/2014,52157,0,0,0,6.95
3/11/2014,52010,0,0,0,12.22
3/12/2014,52147,0,0,0,8.99
3/13/2014,52147,0,0,0,-1.89
3/14/2014,52071,0,0,0,4.75
3/15/2014,52011,0,0,0,10.09
3/16/2014,52253,0,0,0,2.49
3/17/2014,52293,0,0,0,0.06
3/18/2014,52232,0,0,0,3.24
3/19/2014,52299,0,0,0,5.35
3/20/2014,52270,0,0,0,8.29
3/21/2014,52152,0,0,0,7.69
3/22/2014,52162,0,0,0,10.99
3/23/2014,52389,0,0,0,3.94
3/24/2014,52407,0,0,0,0.57
3/25/2014,52367,0,0,0,2.29
3/26/2014,52422,0,0,0,1.66
3/27/2014,52425,0,0,0,3.58
3/28/2014,52286,0,0,0,10.08
3/29/2014,52328,0,0,0,8.01
3/30/2014,52495,0,0,0,8.73
3/31/2014,52420,0,0,0,8.77
4/1/2014,52169,0,0,0,9.91
4/2/2014,53345,0,0,0,8.16
4/3/2014,53274,0,0,0,13.08
4/4/2014,53288,0,0,0,6.56
4/5/2014,53276,0,0,0,9.37
4/6/2014,53511,0,0,0,9.43
4/7/2014,53540,0,0,0,7.24
4/8/2014,52309,0,0,0,11.75
4/9/2014,52319,0,0,0,11.29
4/10/2014,52302,0,0,0,9.95
4/11/2014,52271,0,0,0,14.4
4/12/2014,52254,0,0,0,15.36
4/13/2014,52462,0,0,0,14.61
4/14/2014,52438,0,0,0,14.26
4/15/2014,52487,0,0,0,13.05
4/16/2014,52585,0,0,0,6.73
4/17/2014,52566,0,0,0,6.37
4/18/2014,52430,0,0,0,5.71
4/19/2014,52428,0,0,0,13.44
4/20/2014,52591,1,0,0,9.37
4/21/2014,52613,0,0,0,11.62
4/22/2014,52516,0,0,0,12.88
4/23/2014,52615,0,0,0,11.89
4/24/2014,52602,0,0,0,12.13
4/25/2014,52510,0,0,0,10.76
4/26/2014,52583,0,0,0,14.81
4/27/2014,52740,0,0,0,11.86
4/28/2014,52804,0,0,0,13.98
4/29/2014,52807,0,0,0,8.58
4/30/2014,52807,0,0,0,10.8
5/1/2014,52685,0,0,0,16.25
5/2/2014,52536,0,0,0,15.01
5/3/2014,52517,0,0,0,14.6
5/4/2014,52748,0,0,0,14.04
5/5/2014,52839,0,0,0,14.82
5/6/2014,52793,0,0,0,15.58
5/7/2014,52835,0,0,0,14.24
5/8/2014,52919,0,0,0,14.51
5/9/2014,52867,0,0,0,14.96
5/10/2014,52887,0,0,0,19.89
5/11/2014,53030,0,0,0,19.85
5/12/2014,53118,0,0,0,19.5
5/13/2014,53106,0,0,0,16.08
5/14/2014,53195,0,0,0,14.22
