childid,catholic,race,number_places_lived,mom_age,dad_age,dad_education,mom_education,mom_score,dad_score,income,poverty,food_stamps,score_standardized
0001002C,0,"WHITE, NON-HISPANIC",1,47,45,DOCTORATE OR PROFESSIONAL DEGREE,SOME COLLEGE,53.5,77.5,62500.5,0,0,0.981753325
0001004C,0,"WHITE, NON-HISPANIC",1,41,48,BACHELOR'S DEGREE,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,34.95,53.5,45000.5,0,0,0.594377509
0001010C,0,"WHITE, NON-HISPANIC",1,43,55,"MASTER'S DEGREE (MA, MS)",GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,63.43,53.5,62500.5,0,0,0.490610615
0001011C,1,"WHITE, NON-HISPANIC",1,38,39,BACHELOR'S DEGREE,GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE,53.5,53.5,87500.5,0,0,1.451277931
0001012C,0,"WHITE, NON-HISPANIC",1,47,57,DOCTORATE OR PROFESSIONAL DEGREE,"MASTER'S DEGREE (MA, MS)",61.56,77.5,150000.5,0,0,2.595699122
0002004C,0,"WHITE, NON-HISPANIC",1,41,41,BACHELOR'S DEGREE,BACHELOR'S DEGREE,38.18,53.5,62500.5,0,0,0.385196628
0002008C,0,"WHITE, NON-HISPANIC",1,31,32,VOC/TECH PROGRAM,VOC/TECH PROGRAM,34.95,29.6,32500.5,0,0,-1.074951808
0002010C,0,"WHITE, NON-HISPANIC",1,38,41,SOME COLLEGE,SOME COLLEGE,63.43,33.42,37500.5,0,0,-0.453894595
0002011C,0,"WHITE, NON-HISPANIC",1,26,28,HIGH SCHOOL DIPLOMA/EQUIVALENT,HIGH SCHOOL DIPLOMA/EQUIVALENT,35.78,29.6,45000.5,0,1,0.291312295
0002018C,0,"WHITE, NON-HISPANIC",1,38,40,VOC/TECH PROGRAM,SOME COLLEGE,34.95,34.95,62500.5,0,0,0.747454267
