Country,Salary,YearsCodedJob,OpenSource,Hobby,CompanySizeNumber,Remote,CareerSatisfaction,Data_scientist,Database_administrator,Desktop_applications_developer,Developer_with_stats_math_background,DevOps,Embedded_developer,Graphic_designer,Graphics_programming,Machine_learning_specialist,Mobile_developer,Quality_assurance_engineer,Systems_administrator,Web_developer
United Kingdom,1.00E+05,20,0,1,5000,Remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,130000,20,1,1,1000,Remote,9,0,0,0,0,1,1,0,0,0,0,1,0,1
United States,175000,16,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,64516.12903,4,0,0,1000,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
India,6636.323594,1,0,1,5000,Not remote,5,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,65000,1,0,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,110000,13,0,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,53763.44086,4,1,0,5000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,109400,7,1,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,1,0,0,0
Germany,83870.96774,17,1,1,20,Not remote,9,0,0,1,1,0,0,0,0,0,0,0,0,0
United States,51000,1,0,0,20,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,32500,1,1,0,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,30000,1,0,1,20,Not remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0
United States,90000,10,1,0,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,115000,4,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,93000,9,0,0,500,Not remote,7,0,0,1,1,1,0,0,0,0,0,1,0,0
United States,92500,14,1,1,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
United Kingdom,32500,2,0,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,43750,1,1,1,1,Not remote,5,1,1,1,1,0,0,1,1,0,0,0,0,1
United Kingdom,113750,20,1,1,20,Not remote,9,0,0,1,0,1,0,0,0,0,1,0,0,1
United States,80000,5,0,0,500,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,1.00E+05,14,0,1,20,Not remote,7,0,1,0,0,1,0,0,0,0,0,0,1,1
United States,120000,4,0,1,20,Not remote,10,0,1,1,1,1,0,0,0,0,1,0,1,1
United Kingdom,131250,14,0,0,20,Not remote,10,0,0,0,0,0,0,1,1,0,1,0,0,1
India,6606.95933,1,1,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,10752.68817,1,0,1,10,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,1,1
Canada,87121.21212,10,0,0,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,54545.45455,8,0,0,1000,Not remote,10,0,1,0,0,0,0,0,0,0,0,0,1,1
United States,50000,15,1,1,1,Remote,10,0,1,0,0,0,0,0,0,0,0,0,1,1
United States,50000,2,1,1,10,Not remote,4,0,1,0,0,0,0,0,0,0,1,0,0,1
United States,185000,20,1,0,100,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,160000,11,1,1,500,Remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,63000,6,0,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
United States,67000,6,0,1,1000,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0
United States,103000,15,1,1,500,Remote,8,0,1,0,0,0,0,0,0,0,0,0,0,0
United States,65000,2,0,1,5000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
United Kingdom,63750,17,0,1,500,Not remote,5,0,0,1,0,1,0,0,0,0,0,0,0,1
United States,115000,8,1,0,20,Remote,6,0,0,0,0,1,0,0,0,0,0,0,0,1
United States,170000,18,0,1,10000,Remote,3,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,81060.60606,17,1,1,1000,Not remote,8,0,0,0,1,0,0,0,0,0,0,0,0,0
United Kingdom,77500,10,0,1,100,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,97000,9,0,1,100,Remote,5,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,120000,7,1,1,100,Remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,59139.78495,5,0,0,100,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,0
United Kingdom,75000,8,1,1,500,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Germany,53763.44086,5,0,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,110000,4,1,1,10000,Remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0
United States,85000,2,1,1,20,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
Canada,38484.84848,2,0,1,500,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
United States,165000,8,0,1,10000,Not remote,9,0,0,0,1,0,0,0,0,0,0,0,0,0
United States,1.00E+05,5,0,1,1,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
